model,repeat,k,full,top_k
gigapath,1,20,0.4126984126984126,0.5634920634920635
gigapath,1,50,0.4126984126984126,0.4444444444444444
gigapath,1,100,0.4126984126984126,0.4047619047619048
gigapath,1,200,0.4126984126984126,0.4047619047619048
gigapath,1,500,0.4126984126984126,0.4603174603174603
gigapath,1,1000,0.4126984126984126,0.4603174603174603
gigapath,2,20,0.4126984126984126,0.38888888888888884
gigapath,2,50,0.4126984126984126,0.34920634920634913
gigapath,2,100,0.4126984126984126,0.39682539682539675
gigapath,2,200,0.4126984126984126,0.34920634920634913
gigapath,2,500,0.4126984126984126,0.35714285714285715
gigapath,2,1000,0.4126984126984126,0.35714285714285715
gigapath,3,20,0.5634920634920634,0.4523809523809524
gigapath,3,50,0.5634920634920634,0.4523809523809524
gigapath,3,100,0.5634920634920634,0.4603174603174603
gigapath,3,200,0.5634920634920634,0.5
gigapath,3,500,0.5634920634920634,0.6587301587301587
gigapath,3,1000,0.5634920634920634,0.5634920634920634
gigapath,4,20,0.4603174603174603,0.4444444444444444
gigapath,4,50,0.4603174603174603,0.5
gigapath,4,100,0.4603174603174603,0.5079365079365079
gigapath,4,200,0.4603174603174603,0.4603174603174603
gigapath,4,500,0.4603174603174603,0.4603174603174603
gigapath,4,1000,0.4603174603174603,0.4047619047619048
gigapath,5,20,0.39682539682539675,0.4047619047619048
gigapath,5,50,0.39682539682539675,0.39682539682539675
gigapath,5,100,0.39682539682539675,0.4444444444444444
gigapath,5,200,0.39682539682539675,0.4444444444444444
gigapath,5,500,0.39682539682539675,0.39682539682539675
gigapath,5,1000,0.39682539682539675,0.39682539682539675
gigapath,6,20,0.4047619047619048,0.5555555555555556
gigapath,6,50,0.4047619047619048,0.4523809523809524
gigapath,6,100,0.4047619047619048,0.4047619047619048
gigapath,6,200,0.4047619047619048,0.4047619047619048
gigapath,6,500,0.4047619047619048,0.4047619047619048
gigapath,6,1000,0.4047619047619048,0.4047619047619048
gigapath,7,20,0.4047619047619048,0.4444444444444444
gigapath,7,50,0.4047619047619048,0.4444444444444444
gigapath,7,100,0.4047619047619048,0.3968253968253968
gigapath,7,200,0.4047619047619048,0.4523809523809524
gigapath,7,500,0.4047619047619048,0.4047619047619048
gigapath,7,1000,0.4047619047619048,0.4523809523809524
gigapath,8,20,0.35714285714285715,0.3412698412698412
gigapath,8,50,0.35714285714285715,0.4047619047619048
gigapath,8,100,0.35714285714285715,0.30158730158730157
gigapath,8,200,0.35714285714285715,0.30158730158730157
gigapath,8,500,0.35714285714285715,0.30158730158730157
gigapath,8,1000,0.35714285714285715,0.30158730158730157
gigapath,9,20,0.4047619047619047,0.5
gigapath,9,50,0.4047619047619047,0.4603174603174603
gigapath,9,100,0.4047619047619047,0.4603174603174603
gigapath,9,200,0.4047619047619047,0.5
gigapath,9,500,0.4047619047619047,0.4523809523809524
gigapath,9,1000,0.4047619047619047,0.4047619047619047
gigapath,10,20,0.4047619047619048,0.3968253968253968
gigapath,10,50,0.4047619047619048,0.4047619047619048
gigapath,10,100,0.4047619047619048,0.5
gigapath,10,200,0.4047619047619048,0.35714285714285715
gigapath,10,500,0.4047619047619048,0.35714285714285715
gigapath,10,1000,0.4047619047619048,0.4047619047619048
gigapath,11,20,0.4682539682539682,0.4523809523809524
gigapath,11,50,0.4682539682539682,0.4047619047619048
gigapath,11,100,0.4682539682539682,0.4603174603174603
gigapath,11,200,0.4682539682539682,0.4047619047619048
gigapath,11,500,0.4682539682539682,0.5158730158730158
gigapath,11,1000,0.4682539682539682,0.5158730158730158
gigapath,12,20,0.4523809523809524,0.35714285714285715
gigapath,12,50,0.4523809523809524,0.5
gigapath,12,100,0.4523809523809524,0.5079365079365079
gigapath,12,200,0.4523809523809524,0.5079365079365079
gigapath,12,500,0.4523809523809524,0.4523809523809524
gigapath,12,1000,0.4523809523809524,0.4523809523809524
gigapath,13,20,0.4603174603174603,0.4523809523809524
gigapath,13,50,0.4603174603174603,0.4444444444444444
gigapath,13,100,0.4603174603174603,0.4920634920634921
gigapath,13,200,0.4603174603174603,0.5
gigapath,13,500,0.4603174603174603,0.5555555555555555
gigapath,13,1000,0.4603174603174603,0.4603174603174603
gigapath,14,20,0.4603174603174603,0.5555555555555555
gigapath,14,50,0.4603174603174603,0.5476190476190476
gigapath,14,100,0.4603174603174603,0.4047619047619048
gigapath,14,200,0.4603174603174603,0.30158730158730157
gigapath,14,500,0.4603174603174603,0.4126984126984126
gigapath,14,1000,0.4603174603174603,0.5158730158730158
gigapath,15,20,0.5079365079365079,0.49206349206349204
gigapath,15,50,0.5079365079365079,0.4444444444444444
gigapath,15,100,0.5079365079365079,0.5079365079365079
gigapath,15,200,0.5079365079365079,0.4523809523809524
gigapath,15,500,0.5079365079365079,0.5634920634920634
gigapath,15,1000,0.5079365079365079,0.5079365079365079
gigapath,16,20,0.4603174603174603,0.42063492063492064
gigapath,16,50,0.4603174603174603,0.42063492063492064
gigapath,16,100,0.4603174603174603,0.4126984126984126
gigapath,16,200,0.4603174603174603,0.5158730158730158
gigapath,16,500,0.4603174603174603,0.4603174603174603
gigapath,16,1000,0.4603174603174603,0.4603174603174603
gigapath,17,20,0.4126984126984126,0.4444444444444444
gigapath,17,50,0.4126984126984126,0.4523809523809524
gigapath,17,100,0.4126984126984126,0.4920634920634921
gigapath,17,200,0.4126984126984126,0.4444444444444445
gigapath,17,500,0.4126984126984126,0.3968253968253968
gigapath,17,1000,0.4126984126984126,0.35714285714285715
gigapath,18,20,0.5634920634920634,0.5
gigapath,18,50,0.5634920634920634,0.5634920634920634
gigapath,18,100,0.5634920634920634,0.5634920634920634
gigapath,18,200,0.5634920634920634,0.5634920634920634
gigapath,18,500,0.5634920634920634,0.5634920634920634
gigapath,18,1000,0.5634920634920634,0.5634920634920634
gigapath,19,20,0.4047619047619047,0.4047619047619047
gigapath,19,50,0.4047619047619047,0.4603174603174603
gigapath,19,100,0.4047619047619047,0.5079365079365079
gigapath,19,200,0.4047619047619047,0.4047619047619048
gigapath,19,500,0.4047619047619047,0.4523809523809524
gigapath,19,1000,0.4047619047619047,0.4603174603174603
gigapath,20,20,0.4523809523809524,0.34920634920634913
gigapath,20,50,0.4523809523809524,0.34920634920634913
gigapath,20,100,0.4523809523809524,0.4047619047619048
gigapath,20,200,0.4523809523809524,0.4523809523809524
gigapath,20,500,0.4523809523809524,0.4047619047619048
gigapath,20,1000,0.4523809523809524,0.4523809523809524
gigapath,21,20,0.4047619047619048,0.5158730158730158
gigapath,21,50,0.4047619047619048,0.35714285714285715
gigapath,21,100,0.4047619047619048,0.4603174603174603
gigapath,21,200,0.4047619047619048,0.4047619047619048
gigapath,21,500,0.4047619047619048,0.35714285714285715
gigapath,21,1000,0.4047619047619048,0.4047619047619048
gigapath,22,20,0.5079365079365079,0.5079365079365079
gigapath,22,50,0.5079365079365079,0.5476190476190476
gigapath,22,100,0.5079365079365079,0.5
gigapath,22,200,0.5079365079365079,0.5
gigapath,22,500,0.5079365079365079,0.4603174603174603
gigapath,22,1000,0.5079365079365079,0.5079365079365079
gigapath,23,20,0.5158730158730158,0.5476190476190476
gigapath,23,50,0.5158730158730158,0.4047619047619048
gigapath,23,100,0.5158730158730158,0.5158730158730158
gigapath,23,200,0.5158730158730158,0.4603174603174603
gigapath,23,500,0.5158730158730158,0.5158730158730158
gigapath,23,1000,0.5158730158730158,0.5158730158730158
gigapath,24,20,0.4126984126984126,0.4523809523809524
gigapath,24,50,0.4126984126984126,0.5
gigapath,24,100,0.4126984126984126,0.4523809523809524
gigapath,24,200,0.4126984126984126,0.4126984126984126
gigapath,24,500,0.4126984126984126,0.4126984126984126
gigapath,24,1000,0.4126984126984126,0.4126984126984126
gigapath,25,20,0.4603174603174603,0.5079365079365079
gigapath,25,50,0.4603174603174603,0.4047619047619048
gigapath,25,100,0.4603174603174603,0.4603174603174603
gigapath,25,200,0.4603174603174603,0.5079365079365079
gigapath,25,500,0.4603174603174603,0.4603174603174603
gigapath,25,1000,0.4603174603174603,0.4603174603174603
gigapath,26,20,0.4523809523809524,0.5396825396825397
gigapath,26,50,0.4523809523809524,0.3412698412698412
gigapath,26,100,0.4523809523809524,0.4920634920634921
gigapath,26,200,0.4523809523809524,0.5
gigapath,26,500,0.4523809523809524,0.5
gigapath,26,1000,0.4523809523809524,0.4523809523809524
gigapath,27,20,0.35714285714285715,0.4682539682539682
gigapath,27,50,0.35714285714285715,0.4603174603174603
gigapath,27,100,0.35714285714285715,0.4603174603174603
gigapath,27,200,0.35714285714285715,0.35714285714285715
gigapath,27,500,0.35714285714285715,0.4126984126984126
gigapath,27,1000,0.35714285714285715,0.35714285714285715
gigapath,28,20,0.4126984126984126,0.25396825396825395
gigapath,28,50,0.4126984126984126,0.35714285714285715
gigapath,28,100,0.4126984126984126,0.4047619047619047
gigapath,28,200,0.4126984126984126,0.4047619047619047
gigapath,28,500,0.4126984126984126,0.4126984126984126
gigapath,28,1000,0.4126984126984126,0.4126984126984126
gigapath,29,20,0.4126984126984126,0.5476190476190476
gigapath,29,50,0.4126984126984126,0.5079365079365079
gigapath,29,100,0.4126984126984126,0.4603174603174603
gigapath,29,200,0.4126984126984126,0.4603174603174603
gigapath,29,500,0.4126984126984126,0.4126984126984126
gigapath,29,1000,0.4126984126984126,0.4126984126984126
gigapath,30,20,0.36507936507936506,0.4047619047619047
gigapath,30,50,0.36507936507936506,0.4603174603174603
gigapath,30,100,0.36507936507936506,0.41269841269841273
gigapath,30,200,0.36507936507936506,0.3650793650793651
gigapath,30,500,0.36507936507936506,0.3650793650793651
gigapath,30,1000,0.36507936507936506,0.3650793650793651
gigapath,31,20,0.4682539682539682,0.5079365079365079
gigapath,31,50,0.4682539682539682,0.5079365079365079
gigapath,31,100,0.4682539682539682,0.5079365079365079
gigapath,31,200,0.4682539682539682,0.4126984126984126
gigapath,31,500,0.4682539682539682,0.4682539682539682
gigapath,31,1000,0.4682539682539682,0.4682539682539682
