split,k,gigapath_full_balacc,gigapath_full_f1,gigapath_topk_balacc,gigapath_topk_f1,uni2_full_balacc,uni2_full_f1,uni2_topk_balacc,uni2_topk_f1,virchow2_full_balacc,virchow2_full_f1,virchow2_topk_balacc,virchow2_topk_f1
1,20,0.5,0.38888888888888884,0.3333333333333333,0.3333333333333333,0.5,0.38888888888888884,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.5,0.4444444444444444
1,50,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884
1,100,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.5,0.38888888888888884
1,200,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884
1,500,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884
1,1000,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.5,0.5,0.38888888888888884,0.5,0.38888888888888884
1,1500,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884
2,20,0.5,0.4444444444444444,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222,0.5,0.4444444444444444,0.16666666666666666,0.16666666666666666,0.5,0.5
2,50,0.5,0.4444444444444444,0.0,0.0,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.6666666666666666,0.6
2,100,0.5,0.4444444444444444,0.0,0.0,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.26666666666666666
2,200,0.5,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222
2,500,0.5,0.4444444444444444,0.5,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,1000,0.5,0.4444444444444444,0.5,0.4444444444444444,0.16666666666666666,0.2222222222222222,0.0,0.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,1500,0.5,0.4444444444444444,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
3,20,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.5,0.38888888888888884,0.3333333333333333,0.2222222222222222
3,50,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.5,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666
3,100,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.5,0.38888888888888884
3,200,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.5,0.38888888888888884
3,500,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.5,0.38888888888888884
3,1000,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.5,0.38888888888888884
3,1500,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.5,0.38888888888888884,0.5,0.38888888888888884
4,20,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.0,0.0,0.3333333333333333,0.13333333333333333,0.0,0.0
4,50,0.3333333333333333,0.13333333333333333,0.0,0.0,0.3333333333333333,0.13333333333333333,0.5,0.38888888888888884,0.3333333333333333,0.13333333333333333,0.0,0.0
4,100,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.0,0.0
4,200,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.13333333333333333,0.0,0.0
4,500,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0
4,1000,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.0,0.0
4,1500,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333,0.3333333333333333,0.13333333333333333
5,20,0.5,0.38888888888888884,0.6666666666666666,0.6,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.2222222222222222
5,50,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.8333333333333334,0.7777777777777777,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.2222222222222222
5,100,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666,0.5,0.38888888888888884,0.5,0.5,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666
5,200,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666
5,500,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666
5,1000,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666
5,1500,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666
6,20,0.3333333333333333,0.26666666666666666,0.5,0.5,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
6,50,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.0,0.0
6,100,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
6,200,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
6,500,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
6,1000,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
6,1500,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
7,20,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.13333333333333333,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222
7,50,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.5,0.38888888888888884,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
7,100,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.5,0.38888888888888884,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666,0.0,0.0
7,200,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.2222222222222222,0.5,0.38888888888888884,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666,0.0,0.0
7,500,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.38888888888888884,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
7,1000,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.38888888888888884,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
7,1500,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.5,0.38888888888888884,0.5,0.38888888888888884,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
8,20,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222
8,50,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.26666666666666666,1.0,1.0,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222
8,100,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.6666666666666666,0.5555555555555555,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222
8,200,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.3333333333333333,0.5,0.38888888888888884,0.5,0.38888888888888884
8,500,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.5,0.38888888888888884,0.5,0.38888888888888884
8,1000,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.5,0.38888888888888884,0.5,0.38888888888888884
8,1500,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.26666666666666666,0.3333333333333333,0.26666666666666666,0.5,0.38888888888888884,0.5,0.38888888888888884
9,20,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222,0.5,0.38888888888888884,0.5,0.38888888888888884,0.0,0.0,0.0,0.0
9,50,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222,0.5,0.38888888888888884,0.5,0.38888888888888884,0.0,0.0,0.0,0.0
9,100,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222,0.0,0.0,0.16666666666666666,0.2222222222222222
9,200,0.5,0.38888888888888884,0.16666666666666666,0.2222222222222222,0.5,0.38888888888888884,0.5,0.38888888888888884,0.0,0.0,0.16666666666666666,0.2222222222222222
9,500,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.0,0.0,0.16666666666666666,0.16666666666666666
9,1000,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.0,0.0,0.16666666666666666,0.13333333333333333
9,1500,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.5,0.38888888888888884,0.0,0.0,0.0,0.0
10,20,0.8333333333333334,0.7777777777777777,0.5,0.5,0.6666666666666666,0.6,0.16666666666666666,0.16666666666666666,0.5,0.38888888888888884,0.5,0.5
10,50,0.8333333333333334,0.7777777777777777,0.5,0.5,0.6666666666666666,0.6,1.0,1.0,0.5,0.38888888888888884,0.5,0.38888888888888884
10,100,0.8333333333333334,0.7777777777777777,0.5,0.5,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884,0.5,0.38888888888888884
10,200,0.8333333333333334,0.7777777777777777,0.5,0.5,0.6666666666666666,0.6,1.0,1.0,0.5,0.38888888888888884,0.5,0.38888888888888884
10,500,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884,0.5,0.38888888888888884
10,1000,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884,0.5,0.38888888888888884
10,1500,0.8333333333333334,0.7777777777777777,0.8333333333333334,0.7777777777777777,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884,0.5,0.38888888888888884
11,20,0.6666666666666666,0.6,0.5,0.38888888888888884,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.16666666666666666,0.16666666666666666
11,50,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884
11,100,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884
11,200,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6
11,500,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884
11,1000,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884
11,1500,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.6666666666666666,0.6,0.5,0.38888888888888884
12,20,0.6666666666666666,0.5555555555555555,0.16666666666666666,0.2222222222222222,0.5,0.38888888888888884,0.0,0.0,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.2222222222222222
12,50,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.5,0.38888888888888884,0.16666666666666666,0.13333333333333333,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.26666666666666666
12,100,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.5,0.38888888888888884,0.6666666666666666,0.6,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555
12,200,0.6666666666666666,0.5555555555555555,0.3333333333333333,0.3333333333333333,0.5,0.38888888888888884,0.5,0.38888888888888884,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555
12,500,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.5,0.38888888888888884,0.5,0.38888888888888884,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555
12,1000,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.5,0.38888888888888884,0.5,0.38888888888888884,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555
12,1500,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555,0.5,0.38888888888888884,0.5,0.38888888888888884,0.6666666666666666,0.5555555555555555,0.6666666666666666,0.5555555555555555
13,20,0.5,0.4444444444444444,0.0,0.0,0.5,0.4444444444444444,0.6666666666666666,0.5,0.16666666666666666,0.2222222222222222,0.3333333333333333,0.3333333333333333
13,50,0.5,0.4444444444444444,0.5,0.4444444444444444,0.5,0.4444444444444444,0.3333333333333333,0.2222222222222222,0.16666666666666666,0.2222222222222222,0.16666666666666666,0.2222222222222222
