,gigapath_topk_balacc,gigapath_topk_balacc,uni2_topk_balacc,uni2_topk_balacc,virchow2_topk_balacc,virchow2_topk_balacc
,mean,std,mean,std,mean,std
k,,,,,,
20,0.36761904761904757,0.08111830908619934,0.34904761904761905,0.08815132590880503,0.36682539682539683,0.073587745150547
50,0.3836507936507936,0.07914790500035851,0.4819047619047619,0.08618331403490939,0.3742857142857142,0.07295739972130401
100,0.38825396825396824,0.06639849188498444,0.5323809523809523,0.07674388691762839,0.38682539682539685,0.07181105527185354
200,0.406031746031746,0.06848598138741874,0.5182539682539682,0.06625138678002428,0.39841269841269844,0.06829124873639728
500,0.4496825396825397,0.0678495412288076,0.5176190476190476,0.06696621582360418,0.4058730158730159,0.07122149012475823
1000,0.45285714285714285,0.06687247452422375,0.5092063492063492,0.06017322020108631,0.4101587301587301,0.08568068544419248
1500,0.4614285714285714,0.07282778128314944,0.5125396825396825,0.06377669437046264,0.4214285714285714,0.08293323360705178
