model,repeat,k,full,top_k,full_f1,top_k_f1
gigapath,1,20,0.5158730158730158,0.43650793650793646,0.48821548821548816,0.428657616892911
gigapath,1,50,0.5158730158730158,0.34920634920634913,0.48821548821548816,0.3516483516483517
gigapath,1,100,0.5158730158730158,0.30158730158730157,0.48821548821548816,0.3111111111111111
gigapath,1,200,0.5158730158730158,0.4047619047619048,0.48821548821548816,0.40277777777777773
gigapath,1,500,0.5158730158730158,0.5158730158730158,0.48821548821548816,0.48821548821548816
gigapath,1,1000,0.5158730158730158,0.4603174603174603,0.48821548821548816,0.44979203802733214
gigapath,1,1500,0.5158730158730158,0.5158730158730158,0.48821548821548816,0.49059011164274313
gigapath,2,20,0.4603174603174603,0.38888888888888884,0.44979203802733214,0.3715034965034965
gigapath,2,50,0.4603174603174603,0.3412698412698412,0.44979203802733214,0.3495726495726496
gigapath,2,100,0.4603174603174603,0.34920634920634913,0.44979203802733214,0.36594516594516585
gigapath,2,200,0.4603174603174603,0.34920634920634913,0.44979203802733214,0.36594516594516585
gigapath,2,500,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,2,1000,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,2,1500,0.4603174603174603,0.4603174603174603,0.44979203802733214,0.44979203802733214
gigapath,3,20,0.5634920634920634,0.25396825396825395,0.5395127748068925,0.24523809523809526
gigapath,3,50,0.5634920634920634,0.5,0.5395127748068925,0.5079365079365079
gigapath,3,100,0.5634920634920634,0.4523809523809524,0.5395127748068925,0.45054945054945056
gigapath,3,200,0.5634920634920634,0.5,0.5395127748068925,0.5079365079365079
gigapath,3,500,0.5634920634920634,0.6190476190476191,0.5395127748068925,0.585858585858586
gigapath,3,1000,0.5634920634920634,0.5079365079365079,0.5395127748068925,0.49999999999999994
gigapath,3,1500,0.5634920634920634,0.5634920634920634,0.5395127748068925,0.5395127748068925
gigapath,4,20,0.4523809523809524,0.4920634920634921,0.4606643356643357,0.4962962962962963
gigapath,4,50,0.4523809523809524,0.3968253968253968,0.4606643356643357,0.39886039886039887
gigapath,4,100,0.4523809523809524,0.3968253968253968,0.4606643356643357,0.4105763517528223
gigapath,4,200,0.4523809523809524,0.4523809523809524,0.4606643356643357,0.45384615384615384
gigapath,4,500,0.4523809523809524,0.4523809523809524,0.4606643356643357,0.458008658008658
gigapath,4,1000,0.4523809523809524,0.4603174603174603,0.4606643356643357,0.4447415329768271
gigapath,4,1500,0.4523809523809524,0.4523809523809524,0.4606643356643357,0.4606643356643357
gigapath,5,20,0.4523809523809524,0.29365079365079366,0.4542124542124542,0.3164983164983165
gigapath,5,50,0.4523809523809524,0.4047619047619048,0.4542124542124542,0.4261904761904762
gigapath,5,100,0.4523809523809524,0.39682539682539675,0.4542124542124542,0.4051282051282051
gigapath,5,200,0.4523809523809524,0.39682539682539675,0.4542124542124542,0.39682539682539675
gigapath,5,500,0.4523809523809524,0.4523809523809524,0.4542124542124542,0.4542124542124542
gigapath,5,1000,0.4523809523809524,0.4523809523809524,0.4542124542124542,0.4542124542124542
gigapath,5,1500,0.4523809523809524,0.4523809523809524,0.4542124542124542,0.4542124542124542
gigapath,6,20,0.4603174603174603,0.4444444444444444,0.4444444444444444,0.4447415329768271
gigapath,6,50,0.4603174603174603,0.38888888888888884,0.4444444444444444,0.3814814814814815
gigapath,6,100,0.4603174603174603,0.4523809523809524,0.4444444444444444,0.45384615384615384
gigapath,6,200,0.4603174603174603,0.4047619047619048,0.4444444444444444,0.4047619047619048
gigapath,6,500,0.4603174603174603,0.4603174603174603,0.4444444444444444,0.4444444444444444
gigapath,6,1000,0.4603174603174603,0.4047619047619048,0.4444444444444444,0.40256410256410263
gigapath,6,1500,0.4603174603174603,0.4603174603174603,0.4444444444444444,0.4444444444444444
gigapath,7,20,0.4047619047619048,0.3968253968253968,0.40938228438228436,0.3927601809954751
gigapath,7,50,0.4047619047619048,0.3968253968253968,0.40938228438228436,0.41038961038961036
gigapath,7,100,0.4047619047619048,0.34920634920634913,0.40938228438228436,0.3581196581196581
gigapath,7,200,0.4047619047619048,0.4047619047619048,0.40938228438228436,0.40938228438228436
gigapath,7,500,0.4047619047619048,0.4047619047619048,0.40938228438228436,0.40938228438228436
gigapath,7,1000,0.4047619047619048,0.4523809523809524,0.40938228438228436,0.458008658008658
gigapath,7,1500,0.4047619047619048,0.4047619047619048,0.40938228438228436,0.40938228438228436
gigapath,8,20,0.4603174603174603,0.30158730158730157,0.4444444444444444,0.30256410256410254
gigapath,8,50,0.4603174603174603,0.29365079365079366,0.4444444444444444,0.2748114630467572
gigapath,8,100,0.4603174603174603,0.30158730158730157,0.4444444444444444,0.30036630036630035
gigapath,8,200,0.4603174603174603,0.30158730158730157,0.4444444444444444,0.30036630036630035
gigapath,8,500,0.4603174603174603,0.4047619047619048,0.4444444444444444,0.40256410256410263
gigapath,8,1000,0.4603174603174603,0.4047619047619048,0.4444444444444444,0.40256410256410263
gigapath,8,1500,0.4603174603174603,0.4603174603174603,0.4444444444444444,0.4444444444444444
gigapath,9,20,0.5634920634920634,0.3968253968253968,0.5395127748068925,0.40277777777777773
gigapath,9,50,0.5634920634920634,0.4047619047619048,0.5395127748068925,0.4047619047619048
gigapath,9,100,0.5634920634920634,0.5,0.5395127748068925,0.5079365079365079
gigapath,9,200,0.5634920634920634,0.5079365079365079,0.5395127748068925,0.49999999999999994
gigapath,9,500,0.5634920634920634,0.5079365079365079,0.5395127748068925,0.49999999999999994
gigapath,9,1000,0.5634920634920634,0.5079365079365079,0.5395127748068925,0.49999999999999994
gigapath,9,1500,0.5634920634920634,0.5634920634920634,0.5395127748068925,0.5395127748068925
gigapath,10,20,0.4047619047619048,0.4444444444444444,0.39829059829059826,0.44273504273504277
gigapath,10,50,0.4047619047619048,0.3412698412698412,0.39829059829059826,0.3427350427350427
gigapath,10,100,0.4047619047619048,0.38888888888888884,0.39829059829059826,0.38888888888888884
gigapath,10,200,0.4047619047619048,0.4047619047619048,0.39829059829059826,0.40277777777777773
gigapath,10,500,0.4047619047619048,0.4126984126984126,0.39829059829059826,0.3811188811188811
gigapath,10,1000,0.4047619047619048,0.35714285714285715,0.39829059829059826,0.33945221445221446
gigapath,10,1500,0.4047619047619048,0.35714285714285715,0.39829059829059826,0.33945221445221446
gigapath,11,20,0.5158730158730158,0.3968253968253968,0.48821548821548816,0.39926739926739924
gigapath,11,50,0.5158730158730158,0.4523809523809524,0.48821548821548816,0.45054945054945056
gigapath,11,100,0.5158730158730158,0.5079365079365079,0.48821548821548816,0.4981684981684982
gigapath,11,200,0.5158730158730158,0.4047619047619048,0.48821548821548816,0.39926739926739924
gigapath,11,500,0.5158730158730158,0.5158730158730158,0.48821548821548816,0.48821548821548816
gigapath,11,1000,0.5158730158730158,0.5158730158730158,0.48821548821548816,0.48821548821548816
gigapath,11,1500,0.5158730158730158,0.5158730158730158,0.48821548821548816,0.48821548821548816
gigapath,12,20,0.5158730158730158,0.38888888888888884,0.47890671420083186,0.39194139194139194
gigapath,12,50,0.5158730158730158,0.39682539682539675,0.47890671420083186,0.4051282051282051
gigapath,12,100,0.5158730158730158,0.4523809523809524,0.47890671420083186,0.4542124542124542
gigapath,12,200,0.5158730158730158,0.5,0.47890671420083186,0.5186147186147186
gigapath,12,500,0.5158730158730158,0.5634920634920634,0.47890671420083186,0.5416666666666666
