repeat,fold,mean_accuracy,mean_balacc,mean_f1,attention_accuracy,attention_balacc,attention_f1
1,1,0.5,0.5,0.38888888888888884,0.75,0.8333333333333334,0.7777777777777777
1,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.5
1,3,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
1,4,0.0,0.0,0.0,0.0,0.0,0.0
1,5,0.0,0.0,0.0,0.25,0.3333333333333333,0.16666666666666666
2,1,0.25,0.16666666666666666,0.2222222222222222,0.0,0.0,0.0
2,2,0.0,0.0,0.0,0.5,0.5,0.38888888888888884
2,3,0.5,0.5,0.4444444444444444,0.75,0.8333333333333334,0.7777777777777777
2,4,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
2,5,0.5,0.5,0.38888888888888884,0.25,0.3333333333333333,0.13333333333333333
3,1,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.2222222222222222
3,2,0.75,0.6666666666666666,0.5555555555555555,0.25,0.3333333333333333,0.13333333333333333
3,3,0.25,0.16666666666666666,0.2222222222222222,0.5,0.5,0.38888888888888884
3,4,0.25,0.3333333333333333,0.3333333333333333,0.25,0.3333333333333333,0.2222222222222222
3,5,0.5,0.5,0.38888888888888884,0.25,0.3333333333333333,0.13333333333333333
4,1,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.16666666666666666
4,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
4,3,0.75,0.6666666666666666,0.5555555555555555,1.0,1.0,1.0
4,4,0.0,0.0,0.0,0.0,0.0,0.0
4,5,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.13333333333333333
5,1,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
5,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
5,3,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
5,4,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.13333333333333333
5,5,0.5,0.6666666666666666,0.5,0.5,0.6666666666666666,0.5
6,1,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.2222222222222222
6,2,0.5,0.3333333333333333,0.26666666666666666,0.5,0.3333333333333333,0.2222222222222222
6,3,0.75,0.8333333333333334,0.7777777777777777,0.25,0.16666666666666666,0.16666666666666666
6,4,0.25,0.16666666666666666,0.13333333333333333,0.5,0.5,0.38888888888888884
6,5,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.13333333333333333
7,1,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.2222222222222222
7,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
7,3,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.4444444444444444
7,4,0.25,0.3333333333333333,0.3333333333333333,0.0,0.0,0.0
7,5,0.5,0.6666666666666666,0.4444444444444444,0.5,0.6666666666666666,0.4444444444444444
8,1,0.75,0.6666666666666666,0.5555555555555555,0.5,0.5,0.4444444444444444
8,2,0.5,0.5,0.4444444444444444,0.25,0.16666666666666666,0.13333333333333333
8,3,0.25,0.16666666666666666,0.13333333333333333,0.25,0.16666666666666666,0.13333333333333333
8,4,0.25,0.3333333333333333,0.16666666666666666,0.0,0.0,0.0
8,5,0.25,0.3333333333333333,0.2222222222222222,0.5,0.6666666666666666,0.4444444444444444
9,1,0.5,0.5,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
9,2,0.5,0.5,0.38888888888888884,0.75,0.8333333333333334,0.7777777777777777
9,3,0.5,0.5,0.38888888888888884,0.5,0.5,0.5
9,4,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.4444444444444444
9,5,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
10,1,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.2222222222222222
10,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
10,3,0.0,0.0,0.0,0.75,0.6666666666666666,0.6
10,4,0.25,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0
10,5,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
11,1,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.2222222222222222
11,2,0.5,0.5,0.38888888888888884,0.75,0.6666666666666666,0.5555555555555555
11,3,0.75,0.6666666666666666,0.6,0.5,0.3333333333333333,0.2222222222222222
11,4,0.25,0.3333333333333333,0.2222222222222222,0.25,0.3333333333333333,0.2222222222222222
11,5,0.5,0.5,0.38888888888888884,0.5,0.5,0.5
12,1,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.2222222222222222
12,2,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.13333333333333333
12,3,0.75,0.8333333333333334,0.7777777777777777,0.25,0.16666666666666666,0.16666666666666666
12,4,0.5,0.6666666666666666,0.4444444444444444,0.75,0.8333333333333334,0.7777777777777777
12,5,0.5,0.6666666666666666,0.4444444444444444,0.5,0.5,0.38888888888888884
13,1,0.5,0.5,0.4444444444444444,0.5,0.5,0.4444444444444444
13,2,0.25,0.3333333333333333,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
13,3,0.5,0.5,0.4444444444444444,0.25,0.16666666666666666,0.16666666666666666
13,4,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.13333333333333333
13,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
14,1,0.0,0.0,0.0,0.0,0.0,0.0
14,2,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
14,3,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
14,4,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
14,5,0.25,0.3333333333333333,0.16666666666666666,0.5,0.5,0.4444444444444444
15,1,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.16666666666666666
15,2,0.5,0.5,0.38888888888888884,0.25,0.16666666666666666,0.16666666666666666
15,3,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.5
15,4,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
15,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.2222222222222222
16,1,0.5,0.5,0.4444444444444444,0.5,0.5,0.5
16,2,0.25,0.16666666666666666,0.16666666666666666,0.5,0.5,0.4444444444444444
16,3,0.25,0.16666666666666666,0.2222222222222222,0.25,0.16666666666666666,0.16666666666666666
16,4,0.0,0.0,0.0,0.25,0.16666666666666666,0.13333333333333333
16,5,0.25,0.3333333333333333,0.16666666666666666,0.25,0.3333333333333333,0.16666666666666666
17,1,0.25,0.16666666666666666,0.13333333333333333,0.25,0.16666666666666666,0.13333333333333333
17,2,0.25,0.16666666666666666,0.16666666666666666,0.25,0.16666666666666666,0.16666666666666666
17,3,0.75,0.8333333333333334,0.7777777777777777,0.5,0.5,0.38888888888888884
17,4,0.5,0.6666666666666666,0.4444444444444444,0.25,0.3333333333333333,0.13333333333333333
17,5,0.5,0.5,0.38888888888888884,0.5,0.5,0.38888888888888884
18,1,0.5,0.3333333333333333,0.2222222222222222,0.25,0.16666666666666666,0.2222222222222222
18,2,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
18,3,0.5,0.5,0.4444444444444444,0.5,0.3333333333333333,0.3333333333333333
18,4,0.25,0.3333333333333333,0.13333333333333333,0.25,0.3333333333333333,0.13333333333333333
18,5,0.5,0.6666666666666666,0.5,0.25,0.3333333333333333,0.13333333333333333
19,1,0.25,0.3333333333333333,0.13333333333333333,0.0,0.0,0.0
