model,method,n_repeats,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,macro_f1,macro_f1_std
gigapath,mean,50,0.341,0.06363961030678929,0.34428571428571425,0.06479252088548965,0.31149727723257137,0.06354850240101644
gigapath,attention,50,0.247,0.07028368173600005,0.23555555555555555,0.06696909513737359,0.20226718568669033,0.05856230525715059
uni_v2,mean,50,0.485,0.052731510929405014,0.4982539682539683,0.054640763084642927,0.4279245033718718,0.05708813999820612
uni_v2,attention,50,0.331,0.06051648451421467,0.3252380952380952,0.05817751877440407,0.31855648055648056,0.05854463872343828
virchow2,mean,50,0.387,0.07680481490008771,0.39015873015873015,0.07743623070197814,0.37984940767293707,0.08006598450726982
virchow2,attention,50,0.35,0.07213932098830056,0.3492063492063492,0.07149153183870496,0.34697384366579415,0.07744895558250624
