model,accuracy_mean,accuracy_std,accuracy_median,accuracy_q025,accuracy_q975,balanced_accuracy_mean,balanced_accuracy_std,balanced_accuracy_median,balanced_accuracy_q025,balanced_accuracy_q975,macro_f1_mean,macro_f1_std,macro_f1_median,macro_f1_q025,macro_f1_q975
dummy,0.25,0.0,0.25,0.25,0.25,0.23809523809523803,2.803736533363884e-17,0.23809523809523805,0.23809523809523805,0.23809523809523805,0.19415204678362571,2.803736533363884e-17,0.19415204678362574,0.19415204678362574,0.19415204678362574
gigapath,0.45399999999999996,0.06839262402049043,0.45,0.31124999999999997,0.55,0.4646031746031746,0.07163900184266558,0.4603174603174603,0.31845238095238093,0.5696428571428571,0.4462139237324995,0.06690397425492745,0.44979203802733214,0.3046978715728716,0.5478634383046148
uni_v2,0.5050000000000001,0.0632858755238191,0.5,0.36125,0.6,0.5106349206349207,0.06484646276962486,0.5079365079365079,0.36607142857142855,0.611111111111111,0.5035397413044471,0.06261198536450445,0.5009157509157509,0.3646492396492397,0.6007326007326007
virchow2,0.43200000000000005,0.0800255061380624,0.45,0.3,0.6,0.4339682539682539,0.08124498526600868,0.4523809523809524,0.30158730158730157,0.6013888888888889,0.43050821400821393,0.08339193954636277,0.44178599178599176,0.2884340659340659,0.5975856782106782
