model,repeat,fold,accuracy,balanced_accuracy,macro_f1
gigapath,37,5,0.5,0.6666666666666666,0.4444444444444444
gigapath,38,1,0.5,0.5,0.4444444444444444
gigapath,38,2,0.5,0.5,0.4444444444444444
gigapath,38,3,0.5,0.5,0.4444444444444444
gigapath,38,4,0.5,0.6666666666666666,0.5
gigapath,38,5,0.25,0.3333333333333333,0.13333333333333333
gigapath,39,1,0.25,0.16666666666666666,0.13333333333333333
gigapath,39,2,0.25,0.16666666666666666,0.2222222222222222
gigapath,39,3,0.5,0.5,0.38888888888888884
gigapath,39,4,0.75,0.6666666666666666,0.6
gigapath,39,5,0.5,0.6666666666666666,0.5
gigapath,40,1,0.25,0.16666666666666666,0.16666666666666666
