split,model,k,full,top_k
8,virchow2,200,0.5,0.5
8,virchow2,500,0.5,0.5
8,virchow2,1000,0.5,0.5
9,gigapath,20,0.0,0.0
9,gigapath,50,0.0,0.0
9,gigapath,100,0.0,0.0
9,gigapath,200,0.0,0.0
9,gigapath,500,0.0,0.0
9,gigapath,1000,0.0,0.0
9,uni2,20,0.5,0.5
9,uni2,50,0.5,0.5
9,uni2,100,0.5,0.5
9,uni2,200,0.5,0.5
9,uni2,500,0.5,0.5
9,uni2,1000,0.5,0.5
9,virchow2,20,0.0,0.3333333333333333
9,virchow2,50,0.0,0.3333333333333333
9,virchow2,100,0.0,0.0
9,virchow2,200,0.0,0.16666666666666666
9,virchow2,500,0.0,0.3333333333333333
9,virchow2,1000,0.0,0.3333333333333333
10,gigapath,20,0.8333333333333334,0.5
10,gigapath,50,0.8333333333333334,0.5
10,gigapath,100,0.8333333333333334,0.6666666666666666
10,gigapath,200,0.8333333333333334,0.5
10,gigapath,500,0.8333333333333334,0.8333333333333334
10,gigapath,1000,0.8333333333333334,0.8333333333333334
10,uni2,20,0.6666666666666666,0.16666666666666666
10,uni2,50,0.6666666666666666,0.6666666666666666
10,uni2,100,0.6666666666666666,1.0
10,uni2,200,0.6666666666666666,0.6666666666666666
10,uni2,500,0.6666666666666666,0.6666666666666666
10,uni2,1000,0.6666666666666666,0.6666666666666666
10,virchow2,20,0.8333333333333334,0.5
10,virchow2,50,0.8333333333333334,0.5
10,virchow2,100,0.8333333333333334,0.5
10,virchow2,200,0.8333333333333334,0.5
10,virchow2,500,0.8333333333333334,0.5
10,virchow2,1000,0.8333333333333334,0.5
11,gigapath,20,0.3333333333333333,0.16666666666666666
11,gigapath,50,0.3333333333333333,0.16666666666666666
11,gigapath,100,0.3333333333333333,0.3333333333333333
11,gigapath,200,0.3333333333333333,0.5
11,gigapath,500,0.3333333333333333,0.6666666666666666
11,gigapath,1000,0.3333333333333333,0.3333333333333333
11,uni2,20,0.6666666666666666,0.5
11,uni2,50,0.6666666666666666,0.6666666666666666
11,uni2,100,0.6666666666666666,0.6666666666666666
11,uni2,200,0.6666666666666666,0.6666666666666666
11,uni2,500,0.6666666666666666,0.6666666666666666
11,uni2,1000,0.6666666666666666,0.6666666666666666
11,virchow2,20,0.6666666666666666,0.5
11,virchow2,50,0.6666666666666666,0.5
11,virchow2,100,0.6666666666666666,0.16666666666666666
11,virchow2,200,0.6666666666666666,0.6666666666666666
11,virchow2,500,0.6666666666666666,0.6666666666666666
11,virchow2,1000,0.6666666666666666,0.6666666666666666
12,gigapath,20,0.6666666666666666,0.3333333333333333
12,gigapath,50,0.6666666666666666,0.3333333333333333
12,gigapath,100,0.6666666666666666,0.3333333333333333
12,gigapath,200,0.6666666666666666,0.3333333333333333
12,gigapath,500,0.6666666666666666,0.6666666666666666
12,gigapath,1000,0.6666666666666666,0.6666666666666666
12,uni2,20,0.5,0.3333333333333333
12,uni2,50,0.5,0.16666666666666666
12,uni2,100,0.5,0.16666666666666666
12,uni2,200,0.5,0.5
12,uni2,500,0.5,0.5
12,uni2,1000,0.5,0.5
12,virchow2,20,0.6666666666666666,0.6666666666666666
12,virchow2,50,0.6666666666666666,0.6666666666666666
