model,aggregation,repeat,feature_dim,accuracy,balanced_accuracy,macro_f1
gigapath,mean_std,39,3072,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std,40,3072,0.4,0.4047619047619047,0.37777777777777777
gigapath,mean_std,41,3072,0.35,0.34920634920634913,0.33362193362193365
gigapath,mean_std,42,3072,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std,43,3072,0.35,0.35714285714285715,0.3479853479853479
gigapath,mean_std,44,3072,0.4,0.39682539682539675,0.39145299145299145
gigapath,mean_std,45,3072,0.45,0.4523809523809524,0.44184704184704177
gigapath,mean_std,46,3072,0.4,0.4047619047619048,0.39926739926739924
gigapath,mean_std,47,3072,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std,48,3072,0.5,0.5079365079365079,0.4601851851851852
gigapath,mean_std,49,3072,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std,50,3072,0.45,0.4523809523809524,0.41785714285714287
gigapath,mean_std_median,1,4608,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std_median,2,4608,0.4,0.4126984126984126,0.3814814814814815
gigapath,mean_std_median,3,4608,0.55,0.5634920634920634,0.5346736596736598
gigapath,mean_std_median,4,4608,0.5,0.5079365079365079,0.48946608946608955
gigapath,mean_std_median,5,4608,0.4,0.39682539682539675,0.39682539682539675
gigapath,mean_std_median,6,4608,0.35,0.35714285714285715,0.3412698412698412
gigapath,mean_std_median,7,4608,0.35,0.35714285714285715,0.3427350427350428
gigapath,mean_std_median,8,4608,0.3,0.30158730158730157,0.2914529914529915
gigapath,mean_std_median,9,4608,0.45,0.4523809523809524,0.4365079365079365
gigapath,mean_std_median,10,4608,0.4,0.4047619047619048,0.39926739926739924
gigapath,mean_std_median,11,4608,0.4,0.4126984126984126,0.37777777777777777
gigapath,mean_std_median,12,4608,0.45,0.4523809523809524,0.44688644688644685
gigapath,mean_std_median,13,4608,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std_median,14,4608,0.45,0.4603174603174603,0.44184704184704177
gigapath,mean_std_median,15,4608,0.5,0.5079365079365079,0.4930069930069931
gigapath,mean_std_median,16,4608,0.45,0.4603174603174603,0.4365079365079365
gigapath,mean_std_median,17,4608,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std_median,18,4608,0.5,0.5158730158730158,0.46547619047619043
gigapath,mean_std_median,19,4608,0.45,0.4603174603174603,0.4222222222222222
gigapath,mean_std_median,20,4608,0.4,0.4047619047619048,0.39926739926739924
gigapath,mean_std_median,21,4608,0.35,0.35714285714285715,0.3367965367965368
gigapath,mean_std_median,22,4608,0.5,0.5079365079365079,0.4982905982905983
gigapath,mean_std_median,23,4608,0.45,0.4603174603174603,0.4185185185185185
gigapath,mean_std_median,24,4608,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std_median,25,4608,0.45,0.4603174603174603,0.4238095238095238
gigapath,mean_std_median,26,4608,0.45,0.4523809523809524,0.44184704184704177
gigapath,mean_std_median,27,4608,0.35,0.35714285714285715,0.3427350427350428
gigapath,mean_std_median,28,4608,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std_median,29,4608,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std_median,30,4608,0.35,0.36507936507936506,0.33362193362193365
gigapath,mean_std_median,31,4608,0.4,0.4126984126984126,0.3812409812409812
gigapath,mean_std_median,32,4608,0.3,0.30158730158730157,0.29235209235209236
gigapath,mean_std_median,33,4608,0.5,0.5079365079365079,0.4666666666666666
gigapath,mean_std_median,34,4608,0.45,0.4603174603174603,0.4222222222222222
gigapath,mean_std_median,35,4608,0.35,0.3650793650793651,0.3333333333333333
gigapath,mean_std_median,36,4608,0.4,0.4047619047619048,0.39926739926739924
gigapath,mean_std_median,37,4608,0.45,0.4603174603174603,0.44184704184704177
gigapath,mean_std_median,38,4608,0.4,0.4126984126984126,0.3871794871794872
gigapath,mean_std_median,39,4608,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std_median,40,4608,0.4,0.4047619047619047,0.3844155844155844
gigapath,mean_std_median,41,4608,0.35,0.34920634920634913,0.33362193362193365
gigapath,mean_std_median,42,4608,0.35,0.35714285714285715,0.3367965367965368
gigapath,mean_std_median,43,4608,0.35,0.35714285714285715,0.3479853479853479
gigapath,mean_std_median,44,4608,0.35,0.34920634920634913,0.35384615384615387
gigapath,mean_std_median,45,4608,0.45,0.4523809523809524,0.44184704184704177
gigapath,mean_std_median,46,4608,0.4,0.4047619047619048,0.39926739926739924
gigapath,mean_std_median,47,4608,0.5,0.5158730158730158,0.4606286959228136
gigapath,mean_std_median,48,4608,0.55,0.5634920634920635,0.5082477435418612
gigapath,mean_std_median,49,4608,0.45,0.4603174603174603,0.4222222222222222
gigapath,mean_std_median,50,4608,0.4,0.4047619047619047,0.3844155844155844
gigapath,mean_std_quantiles,1,7680,0.4,0.4126984126984126,0.3761904761904762
gigapath,mean_std_quantiles,2,7680,0.4,0.4126984126984126,0.3814814814814815
gigapath,mean_std_quantiles,3,7680,0.55,0.5634920634920634,0.5346736596736598
gigapath,mean_std_quantiles,4,7680,0.45,0.4603174603174603,0.4427350427350427
gigapath,mean_std_quantiles,5,7680,0.4,0.39682539682539675,0.39682539682539675
gigapath,mean_std_quantiles,6,7680,0.4,0.4047619047619048,0.40256410256410263
gigapath,mean_std_quantiles,7,7680,0.4,0.4047619047619048,0.40256410256410263
gigapath,mean_std_quantiles,8,7680,0.35,0.35714285714285715,0.3367965367965368
gigapath,mean_std_quantiles,9,7680,0.4,0.4047619047619047,0.3844155844155844
gigapath,mean_std_quantiles,10,7680,0.4,0.4047619047619048,0.39829059829059826
gigapath,mean_std_quantiles,11,7680,0.45,0.4682539682539682,0.41785714285714287
gigapath,mean_std_quantiles,12,7680,0.45,0.4523809523809524,0.44688644688644685
gigapath,mean_std_quantiles,13,7680,0.45,0.4603174603174603,0.4238095238095238
gigapath,mean_std_quantiles,14,7680,0.45,0.4603174603174603,0.44172494172494176
gigapath,mean_std_quantiles,15,7680,0.5,0.5079365079365079,0.4930069930069931
gigapath,mean_std_quantiles,16,7680,0.45,0.4603174603174603,0.43846153846153846
gigapath,mean_std_quantiles,17,7680,0.4,0.4126984126984126,0.3814814814814815
gigapath,mean_std_quantiles,18,7680,0.55,0.5634920634920634,0.5346736596736598
gigapath,mean_std_quantiles,19,7680,0.4,0.4047619047619047,0.3812409812409812
gigapath,mean_std_quantiles,20,7680,0.45,0.4523809523809524,0.45384615384615384
gigapath,mean_std_quantiles,21,7680,0.4,0.4047619047619048,0.39829059829059826
gigapath,mean_std_quantiles,22,7680,0.5,0.5079365079365079,0.4982905982905983
gigapath,mean_std_quantiles,23,7680,0.5,0.5158730158730158,0.4606286959228136
gigapath,mean_std_quantiles,24,7680,0.4,0.4126984126984126,0.38413547237076645
gigapath,mean_std_quantiles,25,7680,0.45,0.4603174603174603,0.4447415329768271
gigapath,mean_std_quantiles,26,7680,0.45,0.4523809523809524,0.44184704184704177
gigapath,mean_std_quantiles,27,7680,0.35,0.35714285714285715,0.34722222222222227
gigapath,mean_std_quantiles,28,7680,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std_quantiles,29,7680,0.4,0.4126984126984126,0.3811188811188811
gigapath,mean_std_quantiles,30,7680,0.35,0.36507936507936506,0.328579916815211
gigapath,mean_std_quantiles,31,7680,0.45,0.4682539682539682,0.41785714285714287
gigapath,mean_std_quantiles,32,7680,0.35,0.34920634920634913,0.35384615384615387
